Date,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2020-12-02,14.315553225405056,14.298149776025566,13.418863611493647,13.432686690310904,13.372461173446633,15.144167374645992,19.359984252937757,26.7832661757524,27.35655822422825,26.879504246736523,25.21844841079092,23.733220616262322,21.73590992126206,22.110863741558823,20.472416907666094,20.027769621369522,22.16533319693199,24.521105803103705,20.312895453959847,14.165080459426886,14.680479988157785,11.640233036068636,9.411913017923204,7.630645555447252
2020-12-03,10.306340134251872,9.105044777442497,9.104096395420939,8.802724371893017,7.9463380311628455,11.065753768513797,13.67143796400687,16.16378518610302,16.460327809537173,17.434234691190785,17.552809740721045,17.146397824834175,16.618694163726214,16.736742783165088,17.111733053607125,17.3262518563549,18.352200764411705,17.99817686016478,17.153991939995525,15.341248104766755,13.931509533853308,12.293302227883867,11.41837569693244,9.763208572336389
2020-12-04,10.578765012214113,9.810311019866322,9.435624489376583,9.849682464512195,10.257469250573905,12.085323037816313,16.012480477168364,20.95268043530794,25.6203795653665,24.033331216649287,22.89875681519994,21.53311146218868,21.369677048868112,21.081544934499824,21.391420391062017,21.429491647946584,23.508778617130822,27.08989723753033,25.49758419897099,21.411163398950414,17.496823358087298,15.935730111801606,15.554314918227913,15.225961117424614
2020-12-05,16.403154061924837,16.167963752552552,16.411885456767898,16.506655597274637,15.707416924451499,15.813085945513409,15.700205981444999,17.645722710857015,19.35639426489405,20.237421008468814,20.93030268608755,20.813555809226813,20.9702298227987,20.574672670817193,20.411142481824207,20.9639585030076,21.893533421333778,22.959613534580644,21.273555537986894,18.98290186306022,17.91073101244422,17.52719986287854,16.78794540226647,16.89437736520169
2020-12-06,16.80853177004441,16.450426936610057,16.47606017447077,16.480159169784287,16.17393639339266,15.2388318075465,15.138723726742086,16.73315751374496,19.05061113323469,20.603807049669186,21.32189350724575,21.48125026191415,21.56661707378681,20.824990091156213,20.655065437681227,21.432977130738422,22.65207803277926,23.332857773589524,21.45459397645272,19.718442199832886,18.560627472146255,17.662908007703905,16.25985302278179,14.78167169191676
2020-12-07,15.09280061708071,14.388528827022967,13.467251225291822,13.432379282845957,13.744433360568062,15.436839606982964,18.01359338154041,21.33967626633477,24.626168989820535,23.12099949113728,22.53565272842024,22.039163799051998,22.044325625038333,21.775019208047567,22.247675353841366,23.087903263211977,24.29267245176672,25.18785953144185,23.09625902793516,21.23979649770471,19.61320235338077,19.0713218724078,17.6921509626438,16.330069875501245
2020-12-08,13.561351155622782,13.802971112010374,13.997102559972715,14.596281768878171,15.591021232279324,16.597905659838695,18.709651878470652,23.812876034190957,27.322259126915547,26.134753309676594,25.473991930742677,24.98887499606369,25.212914589418006,24.88170441140607,24.773438125308683,25.455270390035686,26.89596417743193,29.31183075031376,26.932437199545237,24.011921125240654,21.078123416007493,19.78557556037203,18.362272086135132,18.14516847404721
2020-12-09,17.724716163554334,17.34766843136984,16.56548663936909,16.771627380597806,17.566023104649567,18.318881139024686,20.151121088357726,24.081349354941125,26.51032670210477,25.236997414431187,24.679940414248478,24.522795593134564,24.635619320639748,24.507519011993544,24.879092182285905,26.052818010372853,27.604154963759687,26.70078520927912,24.157383120111348,21.016379956372333,19.45094295127872,18.942884438900258,18.423742204655607,17.91584567695757
2020-12-10,18.99269134910472,18.83165035393848,18.501860425833137,18.66588978426382,18.388196992213445,19.503619220782774,21.73274409119562,26.09736134172818,27.97809102942781,28.155733861173964,27.813185900487788,26.909158770269553,26.545135815547155,27.010248241428627,27.833747405106593,29.276807818288816,31.604958077664797,31.485341345780757,27.6379742135397,23.4770192928652,22.31747351897033,21.250215741841238,20.696267496255523,19.689600539645518
2020-12-11,21.125787857229966,20.6015432339653,20.162507532847865,20.251795059767574,20.130724424736457,21.95222991682644,24.685569300468558,28.957624458759923,31.03431570881215,31.183890056498978,30.474847752193572,29.723864617714828,29.078726728035416,29.472017313159114,29.715804020346646,30.504551728073075,34.272983669098295,33.628027100584255,27.43759412058035,24.20759615008142,23.7318636981378,22.3083084523566,21.77999533205201,20.181682918788972
