Dates,Price, Generation forecast (FR),System load forecast (FR) (MW),Day-Ahead Generation forecast wind (BE) (MWh),Day-ahead generation forecast Solar (BE) (MWh),Grid load forecast (BE) (MW)
2021-12-21 18:00:00,0.7107930884054388,0.376322071558048,0.014504607399158992,-0.2024668137837692,0.05575320178731686,0.0
2021-12-21 19:00:00,0.537103746533052,0.3872177744047063,0.14673889306255036,-0.162281176585911,0.0,0.0
2021-12-21 20:00:00,0.7468101686981615,0.3179372355867746,0.17183277339109587,-0.18215452867791612,0.0,-0.09516744141056702
2021-12-21 21:00:00,0.5278567255311226,0.17694934524482522,0.12290356257009301,-0.2207416372161912,-0.06297534960331223,0.0
2021-12-21 22:00:00,0.5972307505462877,0.13788098961760462,0.1548684666557577,-0.138126077791207,-0.1946724801095909,-0.011543576945134384
2021-12-21 23:00:00,0.6634066358516858,0.2183151383271769,0.09015559618237297,-0.13241893246648717,-0.010682450456518378,0.0
2021-12-22 00:00:00,0.5586070999993167,0.007811122565117177,0.0,-0.1851203254078008,0.0,0.0
2021-12-22 01:00:00,0.6736912664967185,0.0,0.0,-0.17963007457648458,0.0,0.0
2021-12-22 02:00:00,0.7092144437853968,0.0,-0.024164844272101138,-0.10746139101315638,0.0,0.0
2021-12-22 03:00:00,0.6910856304643811,0.02631646829719233,0.032194858064547034,-0.14160684882866684,0.0,0.0
2021-12-22 04:00:00,0.7043524408053756,0.07637462280278648,0.02989002488382192,-0.33275668660858954,0.0,0.0
2021-12-22 05:00:00,0.7944077465306663,0.014413505507494477,-0.05586195001582806,-0.13631362295345248,0.0,0.0
2021-12-22 06:00:00,0.4529327826066818,0.11803607358874273,0.0,-0.21529522603432363,-0.02498860131692784,0.2148637897811355
2021-12-22 07:00:00,0.4989594752212486,0.029194833888070287,0.1784232301083645,-0.2828286917304026,-0.04789472430676255,0.2333094074905932
2021-12-22 08:00:00,0.4056226544053379,0.36361263247758246,0.3166846846597928,-0.3864475595134919,0.0,0.037124955349877205
2021-12-22 09:00:00,0.4247311820422927,0.2675552929472269,0.09167640266325343,-0.24227730435767678,0.0,0.0
2021-12-22 10:00:00,0.3900118286770663,0.27215924111567485,0.0,-0.2619047925606349,-0.0703856940539972,0.05732730018958684
2021-12-22 11:00:00,0.4179489716547433,0.3720552060255644,-0.16603578633995567,-0.42611536584036713,-0.01855531293287651,0.12350871739253556
2021-12-22 12:00:00,0.39762536985748953,0.39213199997405435,0.0,-0.3102397740024297,0.0,0.0
2021-12-22 13:00:00,0.4248581117686789,0.32319878851117995,0.0,-0.40298338903435077,0.0,0.0
2021-12-22 14:00:00,0.3998486587404778,0.3599430402692474,-0.023601402878968957,-0.35155685951073934,0.08357834624668851,-0.04468627402439236
2021-12-22 15:00:00,0.545570372579335,0.3703802387618341,0.05840260921683815,0.0,0.040679141768730026,-0.027495963075676366
2021-12-22 16:00:00,0.44727230450546207,0.309804281508807,0.08879940609091488,-0.1406121412650821,0.07619445715127462,-0.00022262696896144888
2021-12-22 17:00:00,0.3955937603822026,0.2473799697338204,0.1562867935279147,-0.23561431878586947,0.05102157726294237,0.0
2021-12-22 18:00:00,0.5095254510120724,0.40218626576313143,0.04652482117504763,-0.16274316062508123,0.05900536056713498,0.0
2021-12-22 19:00:00,0.4579613998179808,0.44725357894652623,0.1780754161439657,-0.2195658061730769,0.0,0.0
2021-12-22 20:00:00,0.7123604247375466,0.26138549073723366,0.1819794860162257,-0.27990438304105053,0.0,-0.06321679750953692
2021-12-22 21:00:00,0.519304986864185,0.06484267997214227,0.09044204154322927,-0.22691238003271094,-0.1483899396810911,0.0
2021-12-22 22:00:00,0.4453068107976803,0.0637484478917508,0.18309235121360995,-0.22283361798277304,-0.21251347883186394,-0.027223767483221226
2021-12-22 23:00:00,0.49688275731142273,0.0937997662703815,0.11585207027938689,-0.29652584566026235,-0.024168597220942285,0.0
2021-12-23 00:00:00,0.5882122283214284,-0.009656929152589146,0.050619874502449105,-0.3297937370455093,0.04249367083461061,0.023182696266121378
2021-12-23 01:00:00,0.7395544463724356,0.0,0.0,-0.13215816065294272,0.02170440639347899,0.0
