Dates,Generation forecast (FR),System load forecast (FR) (MW),Day-Ahead Generation forecast wind (BE) (MWh),Day-ahead generation forecast Solar (BE) (MWh),Grid load forecast (BE) (MW)
2019-08-19 19:00:00,0.2861940839647783,-0.0521233722699013,-0.1928689330605466,0.18447010466418923,-0.4153684911868394
2019-08-19 20:00:00,0.2811924161951035,0.07778644068573698,-0.1741846696277571,-0.0786004226464441,-0.6087419586359029
2019-08-19 21:00:00,0.5748206709923671,0.3802727872936183,-0.06708172027792308,-0.292025141515154,-0.6692683853760603
2019-08-19 22:00:00,0.39324845367832556,0.4156203219553934,-0.10393324278331749,-0.3616838453861401,-0.48593668084083114
2019-08-19 23:00:00,0.5938960756198589,0.029266147697904393,-0.33652182778437895,-0.3086722859452697,-0.4969917619868263
2019-08-20 00:00:00,0.05496073912417737,0.0,-0.1970781669459676,-0.003925533975338326,0.0
2019-08-20 01:00:00,0.24415551063547034,0.058029623201671425,-0.27136623635913365,-0.2177531229896857,-0.05702339103379918
2019-08-20 02:00:00,0.25069693968857576,0.0,-0.2915937127828948,-0.13651210800974256,0.0
2019-08-20 03:00:00,0.2768142044272845,0.0,-0.20905210179914016,-0.1280394387019713,-0.0036037863553183146
2019-08-20 04:00:00,0.4417942386728029,0.0,-0.2624591549857111,-0.434764143123568,-0.05826332763593474
2019-08-20 05:00:00,0.352985702331155,0.06798591653052297,-0.4351085131901587,-0.6014834164871732,0.24771387395528122
2019-08-20 06:00:00,0.24270488952841798,0.37970767887050205,-0.4076428626388492,-0.4417904861008558,0.34527120238175957
2019-08-20 07:00:00,0.1014806233374973,0.3533633062579828,-0.08313911124952453,-0.14427571007716578,0.26808843783773867
2019-08-20 08:00:00,0.18013458531441473,0.1824357676167664,-0.09715685492498129,-0.16036696005776951,0.2070164901584951
2019-08-20 09:00:00,0.2182380788123484,0.2846102413821133,-0.06832335955207076,-0.28036504043800914,0.09713942770453292
2019-08-20 10:00:00,0.2859855776991804,0.290146010601321,-0.14422472680557644,-0.3760394911105122,0.013167472144813352
2019-08-20 11:00:00,0.3394592161074791,0.08333015247416185,-0.2896426622661724,-0.38207989366531986,-0.026367116212559584
2019-08-20 12:00:00,0.4307432122373186,0.09109689422191193,-0.19966047645478047,-0.2969261545426347,-0.02056918942853836
2019-08-20 13:00:00,0.4952190899016561,0.4435471450686366,-0.19532183502733735,-0.5565605373022523,-0.019342255319420555
2019-08-20 14:00:00,0.6462589664705797,0.2839895347637851,-0.15396772310262777,-0.5519693696438893,-0.08018600691485335
2019-08-20 15:00:00,0.3849661795801085,0.39260640325879065,-0.14164869285820425,-0.402418886873923,-0.03155151496610378
2019-08-20 16:00:00,0.0315131005963732,0.78968795644183,-0.35484920997596325,-0.5402024541562684,0.05735341126579671
2019-08-20 17:00:00,0.20206903603765017,0.13833098852419312,-0.07520644468188314,-0.13276382873959164,-0.003173391666570347
2019-08-20 18:00:00,0.3163039623636398,0.06455652496359944,-0.08500679514689236,-0.058988956024428905,-0.20449638397618133
2019-08-20 19:00:00,0.4962509183856416,-0.03117043988891606,-0.06160857555495898,-0.029427213054266876,-0.2891781137444844
2019-08-20 20:00:00,0.39724703497100794,-0.027470126204098277,-0.06724382755697308,-0.11178572011233934,-0.4308511637760498
2019-08-20 21:00:00,0.6146917075594845,0.3712400008439941,-0.05259349793877643,-0.3788158901417895,-0.5371031557096413
2019-08-20 22:00:00,0.4525090872307937,0.46922585638475617,-0.12476206714332601,-0.5000715217015803,-0.40645334898465213
2019-08-20 23:00:00,0.5547964707989537,0.019977465724583587,-0.3664149140193817,-0.3017029021730505,-0.4658017467670247
2019-08-21 00:00:00,0.05716986285298025,0.0,-0.22720494952124934,-0.03137242880897925,0.0
2019-08-21 01:00:00,0.250960368530337,0.05540323924712325,-0.2729928704448931,-0.19607693270760573,-0.04545185189371048
2019-08-21 02:00:00,0.25859706413741235,0.0,-0.3213228630728207,-0.1485619462129888,0.0
2019-08-21 03:00:00,0.2772072941038341,0.0,-0.2468906681951099,-0.16270388432151398,0.0
2019-08-21 04:00:00,0.4819803332629795,0.0,-0.2846489217735048,-0.3873042809418548,-0.05578251951858949
2019-08-21 05:00:00,0.5213006113734521,0.05472656626602193,-0.3485198857475185,-0.44237185643212845,0.07491250934065101
2019-08-21 06:00:00,0.3227310258828133,0.34411320925953426,-0.2926238404277951,-0.3209847469529876,0.1641989958268655
2019-08-21 07:00:00,0.1142737033188522,0.3483733424658677,-0.09117591337721348,-0.1568723299659688,0.2643675699199907
2019-08-21 08:00:00,0.17392145132856426,0.1948420948249721,-0.10717189418004815,-0.18590800612602312,0.23791224356711274
2019-08-21 09:00:00,0.2402648680964386,0.25034717036588605,-0.05739849383297545,-0.27050445668230105,0.13275508791697843
2019-08-21 10:00:00,0.22106578919626094,0.29231335923361274,-0.17478635829298278,-0.38132146791877375,0.05189498374288877
2019-08-21 11:00:00,0.3546080629894043,0.04403949935920001,-0.3245228834368573,-0.42810286934408426,0.038559267484393304
2019-08-21 12:00:00,0.434607349233597,0.060015733420248726,-0.23244064351258875,-0.31561595538831705,0.007067543898590267
2019-08-21 13:00:00,0.43590213775391873,0.5247042194326696,-0.24903018088825438,-0.5922089005953671,-0.0058679233125496985
